"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"TAHO","2131","2010-09-23","2019-03-18","25","2012-11-14","2018-11-06"
"TAIT","5397","1998-01-02","2019-06-14","30","2011-08-15","2018-11-14"
"TAK","2664","2008-10-27","2019-06-07","2","2019-02-01","2019-05-14"
"TAL","2174","2010-10-20","2019-06-11","32","2014-01-22","2019-04-25"
"TALO","271","2018-05-10","2019-06-07","2","2019-03-13","2019-05-08"
"TANH","1065","2015-03-24","2019-06-14","0","NULL","NULL"
"TANNI","1611","2013-01-22","2019-06-14","0","NULL","NULL"
"TANNL","1128","2014-12-19","2019-06-14","0","NULL","NULL"
"TANNZ","926","2015-10-09","2019-06-14","0","NULL","NULL"
"TAOP","3205","2006-09-12","2019-06-07","0","NULL","NULL"
"TAP","5394","1998-01-02","2019-06-11","41","2009-05-05","2019-05-01"
"TAP.A","2365","2006-02-27","2015-07-20","0","NULL","NULL"
"TAPR","1236","2014-07-15","2019-06-14","0","NULL","NULL"
"TARO","5394","1998-01-02","2019-06-11","29","2012-05-24","2019-05-22"
"TAST","3144","2006-12-15","2019-06-14","41","2009-05-04","2019-05-08"
"TAT","3062","2007-04-09","2019-06-05","33","2010-08-10","2018-11-14"
"TATT","5394","1998-01-02","2019-06-14","34","2010-03-15","2018-11-28"
"TAX","1536","2012-07-02","2019-05-06","0","NULL","NULL"
"TAYD","5397","1998-01-02","2019-06-14","39","2009-08-28","2019-01-04"
"TBB","400","2017-11-06","2019-06-11","0","NULL","NULL"
"TBBK","3868","2004-02-03","2019-06-14","38","2009-07-23","2019-04-25"
"TBC","209","2018-08-08","2019-06-07","0","NULL","NULL"
"TBI","5394","1998-01-02","2019-06-11","40","2009-07-22","2019-04-29"
"TBIO","237","2018-06-28","2019-06-07","2","2019-02-14","2019-03-21"
"TBK","1157","2014-11-07","2019-06-14","18","2015-03-04","2019-04-17"
"TBLT","128","2018-12-03","2019-06-07","0","NULL","NULL"
"TBLTU","138","2018-11-13","2019-06-06","0","NULL","NULL"
"TBLTW","120","2018-12-03","2019-06-06","0","NULL","NULL"
"TBNK","2499","2009-07-13","2019-06-14","38","2010-02-05","2019-04-25"
"TBPH","1279","2014-05-16","2019-06-14","20","2014-08-13","2019-05-07"
"TBRG","224","2018-07-17","2019-06-07","0","NULL","NULL"
"TBRGU","237","2018-06-19","2019-06-06","0","NULL","NULL"
"TBRGW","221","2018-07-17","2019-06-07","0","NULL","NULL"
"TC","2554","2006-06-08","2019-06-07","10","2014-02-20","2019-05-17"
"TCAP","2873","2007-02-22","2018-07-19","0","NULL","NULL"
"TCBI","3986","2003-08-14","2019-06-14","40","2009-07-22","2019-04-17"
"TCBIL","1687","2012-09-28","2019-06-14","0","NULL","NULL"
"TCBIP","1568","2013-03-25","2019-06-14","0","NULL","NULL"
"TCBIW","2096","2010-03-12","2018-07-19","0","NULL","NULL"
"TCBK","5397","1998-01-02","2019-06-14","40","2009-07-28","2019-04-26"
"TCCA","1443","2012-10-23","2018-07-19","0","NULL","NULL"
"TCCB","839","2015-02-10","2018-06-08","0","NULL","NULL"
"TCCO","5397","1998-01-02","2019-06-14","38","2009-07-31","2018-12-10"
"TCDA","237","2018-06-28","2019-06-07","3","2019-02-14","2019-05-08"
"TCF","5394","1998-01-02","2019-06-11","22","2014-01-29","2019-04-22"
"TCFC","4354","2002-02-28","2019-06-14","22","2014-01-24","2019-04-22"
"TCGP","445","2017-09-07","2019-06-14","0","NULL","NULL"
"TCI","5394","1998-01-02","2019-06-11","36","2009-05-15","2018-11-13"
"TCMD","725","2016-07-28","2019-06-14","12","2016-09-07","2019-05-06"
"TCO","5388","1998-01-02","2019-06-11","40","2009-07-23","2019-04-30"
"TCON","1101","2015-01-30","2019-06-14","17","2015-05-13","2019-05-14"
"TCP","5044","1999-05-25","2019-06-11","30","2012-02-16","2019-05-08"
"TCPC","1810","2012-04-04","2019-06-14","29","2012-05-14","2019-05-08"
"TCRD","2303","2010-04-22","2019-06-14","35","2010-11-09","2019-05-09"
"TCRR","83","2019-02-14","2019-06-13","1","2019-05-13","2019-05-13"
"TCRW","166","2018-10-09","2019-06-07","0","NULL","NULL"
"TCRX","995","2014-11-24","2019-02-26","0","NULL","NULL"
"TCRZ","874","2015-12-16","2019-06-11","0","NULL","NULL"
"TCS","1410","2013-11-01","2019-06-11","22","2014-01-07","2019-05-14"
"TCX","5397","1998-01-02","2019-06-14","40","2009-05-13","2019-05-08"
"TD","5394","1998-01-02","2019-06-11","39","2009-12-03","2019-05-23"
"TDA","1640","2012-12-04","2019-06-11","0","NULL","NULL"
"TDAC","246","2018-06-13","2019-06-07","0","NULL","NULL"
"TDACU","249","2018-05-30","2019-06-06","0","NULL","NULL"
"TDACW","140","2018-06-13","2019-06-07","0","NULL","NULL"
"TDC","2944","2007-10-01","2019-06-11","41","2009-05-07","2019-05-02"
"TDE","2035","2011-05-10","2019-06-11","0","NULL","NULL"
"TDF","5394","1998-01-02","2019-06-11","0","NULL","NULL"
"TDG","3333","2006-03-15","2019-06-11","41","2009-05-05","2019-05-07"
"TDI","3566","2005-04-12","2019-06-11","0","NULL","NULL"
"TDIV","1719","2012-08-14","2019-06-14","0","NULL","NULL"
"TDJ","2065","2011-03-28","2019-06-11","0","NULL","NULL"
"TDOC","993","2015-07-01","2019-06-11","16","2015-08-12","2019-04-30"
"TDS","5394","1998-01-02","2019-06-11","41","2009-05-06","2019-05-02"
"TDW","5394","1998-01-02","2019-06-11","21","2014-02-04","2019-05-06"
"TDY","4917","1999-11-23","2019-06-11","40","2009-07-23","2019-04-24"
"TEAF","51","2019-03-27","2019-06-07","0","NULL","NULL"
"TEAM","883","2015-12-10","2019-06-14","14","2016-02-04","2019-04-17"
"TECD","5397","1998-01-02","2019-06-14","38","2009-05-21","2019-05-30"
"TECH","5397","1998-01-02","2019-06-14","40","2009-08-04","2019-04-30"
"TECK","4254","2002-07-18","2019-06-11","22","2014-02-13","2019-04-23"
"TEDU","1309","2014-04-03","2019-06-14","20","2014-05-19","2019-03-11"
"TEF","5394","1998-01-02","2019-06-11","37","2009-05-13","2018-10-31"
"TEGP","779","2015-05-07","2018-06-08","0","NULL","NULL"
"TEI","5394","1998-01-02","2019-06-11","0","NULL","NULL"
"TEL","3019","2007-06-14","2019-06-11","40","2009-07-29","2019-04-24"
"TELL","5397","1998-01-02","2019-06-14","17","2014-02-14","2019-05-08"
"TEN","5394","1998-01-02","2019-06-11","41","2009-07-30","2019-05-09"
"TENB","218","2018-07-26","2019-06-07","2","2019-02-05","2019-04-30"
"TENX","5397","1998-01-02","2019-06-14","9","2014-12-17","2017-03-21"
"TEO","5394","1998-01-02","2019-06-11","36","2009-05-07","2018-11-08"
"TEP","1295","2013-05-14","2018-07-18","0","NULL","NULL"
"TER","5394","1998-01-02","2019-06-11","40","2009-07-29","2019-04-23"
"TERP","1236","2014-07-18","2019-06-14","21","2014-11-05","2019-05-10"
"TESS","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-05-06"
